Timestamp,AbsTime,Recording,Clase_YAMNet,Probabilidad,TopIndex,loudness_sones,sharpness_acum,roughness_asper,tonality_tnr_db,tonality_pr_db,lat,lon,alt,gps_error_s,gps_source
84.0,84.0,Simon-bolivar_panaderia,Vehicle,0.243210956454277,294,7.304,1.2015636343128608,0.0535044386224447,0.0,0.0,-33.449144,-70.605411,592.2,0.0,interpolated
87.0,87.0,Simon-bolivar_panaderia,Vehicle,0.2198279052972793,294,7.769,1.0313586081371644,0.1533956600069061,0.0,0.0,-33.449149,-70.60544,592.2,0.0,interpolated
90.0,90.0,Simon-bolivar_panaderia,Speech,0.443835586309433,0,10.337,1.1273404281360773,0.1562176124753106,0.0,0.0,-33.44911837037037,-70.6054237037037,592.2037037037037,0.0,interpolated
93.0,93.0,Simon-bolivar_panaderia,Vehicle,0.1070996448397636,294,9.103,1.21911144245431,0.1891901536441723,0.0,0.0,-33.44911742592593,-70.60542325925925,592.2092592592593,0.0,interpolated
96.0,96.0,Simon-bolivar_panaderia,Vehicle,0.171269342303276,294,8.197,1.1164815241901884,0.1396888438530735,0.0,0.0,-33.44911648148148,-70.60542281481482,592.2148148148149,0.0,interpolated
99.0,99.0,Simon-bolivar_panaderia,Vehicle,0.1078322306275367,294,9.039,1.1610272004129427,0.0751105763196805,0.0,0.0,-33.44911553703704,-70.60542237037038,592.2203703703703,0.0,interpolated
102.0,102.0,Simon-bolivar_panaderia,Vehicle,0.2934907972812652,294,10.132,1.1718311219290658,0.0529360941171127,0.0,0.0,-33.44911459259259,-70.60542192592592,592.2259259259259,0.0,interpolated
105.0,105.0,Simon-bolivar_panaderia,Speech,0.1750134825706482,0,13.507,1.2805356426246113,0.1566734138651773,0.0,0.0,-33.44911364814815,-70.60542148148149,592.2314814814815,0.0,interpolated
108.0,108.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.1908922642469406,503,10.433,1.2130839367903312,0.1089371417870686,0.0,0.0,-33.449112703703705,-70.60542103703703,592.237037037037,0.0,interpolated
111.0,111.0,Simon-bolivar_panaderia,Vehicle,0.4178075492382049,294,9.982,1.1959278953857129,0.0552392488198656,0.0,0.0,-33.44911175925926,-70.6054205925926,592.2425925925926,0.0,interpolated
114.0,114.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.1649341285228729,503,10.565,1.227255801778649,0.0704574845432665,0.0,0.0,-33.449110814814816,-70.60542014814816,592.2481481481482,0.0,interpolated
117.0,117.0,Simon-bolivar_panaderia,Vehicle,0.2094929963350296,294,10.81,1.2724987332043811,0.0714029270748497,0.0,0.0,-33.44910987037037,-70.6054197037037,592.2537037037036,0.0,interpolated
120.0,120.0,Simon-bolivar_panaderia,Vehicle,0.2841504216194153,294,9.212,1.1838745871749332,0.0351717271083165,0.0,0.0,-33.44910892592593,-70.60541925925926,592.2592592592592,0.0,interpolated
123.0,123.0,Simon-bolivar_panaderia,Vehicle,0.217844471335411,294,9.273,1.212198794787374,0.0454806815728397,0.0,0.0,-33.44910798148148,-70.60541881481481,592.2648148148148,0.0,interpolated
126.0,126.0,Simon-bolivar_panaderia,Vehicle,0.5997812747955322,294,10.697,1.1409878489141017,0.0497416772381828,0.0,0.0,-33.44910703703704,-70.60541837037037,592.2703703703703,0.0,interpolated
129.0,129.0,Simon-bolivar_panaderia,Vehicle,0.2825163602828979,294,9.845,1.1713169511275967,0.0553135994688492,0.0,0.0,-33.449106092592594,-70.60541792592593,592.2759259259259,0.0,interpolated
132.0,132.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.1935605555772781,503,8.456,1.157394649366828,0.0827515932652853,0.0,0.0,-33.44910514814815,-70.60541748148148,592.2814814814815,0.0,interpolated
135.0,135.0,Simon-bolivar_panaderia,Speech,0.2948796451091766,0,7.458,1.1245575220724795,0.0685976653229294,0.0,0.0,-33.449104203703705,-70.60541703703704,592.287037037037,0.0,interpolated
138.0,138.0,Simon-bolivar_panaderia,"Outside, urban or manmade",0.2158391028642654,503,8.68,1.114094169500248,0.109929587152151,0.0,0.0,-33.44910325925926,-70.6054165925926,592.2925925925925,0.0,interpolated
141.0,141.0,Simon-bolivar_panaderia,Vehicle,0.2264878302812576,294,11.1,1.207904070862746,0.0582421355146296,0.0,0.0,-33.449102314814816,-70.60541614814815,592.2981481481481,0.0,interpolated
144.0,144.0,Simon-bolivar_panaderia,Vehicle,0.3965611755847931,294,12.418,1.226101513247896,0.0751682838314612,0.0,0.0,-33.449067,-70.605399,592.3,0.0,interpolated
147.0,147.0,Simon-bolivar_panaderia,Vehicle,0.2847269475460052,294,11.156,1.1608735613966077,0.0533013055155445,0.0,0.0,-33.449011,-70.605402,592.4,0.0,interpolated
150.0,150.0,Simon-bolivar_panaderia,Vehicle,0.3406269252300262,294,12.62,1.1767218742904046,0.0454809015383033,0.0,0.0,-33.448942,-70.605423,592.4,0.0,interpolated
153.0,153.0,Simon-bolivar_panaderia,Vehicle,0.3516279458999634,294,9.884,1.1545656198721066,0.0596127229327663,0.0,0.0,-33.4489,-70.605428,592.5,0.0,interpolated
156.0,156.0,Simon-bolivar_panaderia,Vehicle,0.2499221563339233,294,7.968,1.1664429845235968,0.089170337363589,0.0,0.0,-33.448834,-70.60543,592.6,0.0,interpolated
159.0,159.0,Simon-bolivar_panaderia,Vehicle,0.3973493576049804,294,10.596,1.1771404093371012,0.0404079789637181,0.0,0.0,-33.448801,-70.605408,592.6,0.0,interpolated
162.0,162.0,Simon-bolivar_panaderia,Vehicle,0.3297703862190246,294,9.958,1.1826663008512872,0.061560149988127,0.0,0.0,-33.448788,-70.605334,592.7,0.0,interpolated
165.0,165.0,Simon-bolivar_panaderia,Vehicle,0.319105863571167,294,7.801,1.1970131966676572,0.0346719437151527,0.0,0.0,-33.448774,-70.60528,592.7,0.0,interpolated
168.0,168.0,Simon-bolivar_panaderia,Vehicle,0.3782295286655426,294,7.494,1.1790856817994195,0.0315103790849862,0.0,0.0,-33.448756,-70.605245,592.7,0.0,interpolated
171.0,171.0,Simon-bolivar_panaderia,Fire,0.1485570222139358,292,8.905,1.128813763673597,0.1142659526356615,0.0,0.0,-33.448755,-70.6052,592.8,0.0,interpolated
