Clase_YAMNet,loudness_sones,sharpness_acum,roughness_asper,tonality_tnr_db
Run,14.451,1.198520813517416,0.3971929459295877,0.0
Speech,11.440310344827587,1.2722800201903208,0.09465145489120358,0.0
Fire,10.6815,1.1500993005597593,0.23147163041350866,0.0
Vehicle,10.623183098591548,1.2026560197213403,0.0903547145138118,0.0
Rustle,9.961,1.2511310436099687,0.0315166769613807,0.0
"Outside, urban or manmade",9.708,1.1905531150460456,0.10219273645997692,0.0
Clip-clop,9.514666666666665,1.326805746298961,0.19918019198748593,0.0
Animal,7.21,1.190766543045112,0.0772726602692444,0.0
