Timestamp,Latitud,Longitud,Clase_YAMNet,Probabilidad,Centr_Espectral,ZCR,RMS
0.0,33.45,-70.65962227235018,"Boat, Water vehicle",0.3148094117641449,4547.17257940837,0.0962381565824468,0.0425516702234745
3.0,33.45015,-70.65953195260703,Vehicle,0.26175984740257263,5321.4308387424735,0.12569086602393617,0.042876582592725754
6.0,33.450300000000006,-70.6595655851429,Vehicle,0.471340149641037,5520.355473494714,0.1495318040780142,0.04714186117053032
9.0,33.450450000000004,-70.65973518003503,Vehicle,0.45350518822669983,4053.4703562408076,0.0794114998891844,0.07735436409711838
12.0,33.4506,-70.65922290978189,Vehicle,0.36437681317329407,4129.36574805714,0.08166071032801418,0.07286007702350616
15.0,33.45075,-70.65937877414648,Wind,0.21716941893100739,4290.062476077094,0.09574468085106383,0.061841931194067
18.0,33.450900000000004,-70.65912162112387,Vehicle,0.2648511230945587,4543.077447625571,0.10187416888297872,0.06932292133569717
21.0,33.45105,-70.65951540494848,Vehicle,0.1618748903274536,4097.000125925415,0.08077245401152482,0.0702969953417778
24.0,33.4512,-70.65941429578525,Wind,0.29853153228759766,5131.589728129386,0.10373725620567376,0.06555833667516708
27.0,33.451350000000005,-70.65994701644867,Vehicle,0.2728266417980194,3995.895950281058,0.06622271165780141,0.06310869753360748
30.0,33.4515,-70.65984528568207,Vehicle,0.5136983394622803,3440.9824805080134,0.05970017453457447,0.05384240671992302
33.0,33.45165,-70.65931387960617,Speech,0.23320339620113373,5173.920908720479,0.12047041223404255,0.03513138368725777
36.0,33.451800000000006,-70.65999606560742,Speech,0.2570575773715973,5996.282614997623,0.16412656527039007,0.03869893401861191
39.0,33.451950000000004,-70.65999405591685,Speech,0.19920575618743896,6326.79452744027,0.1745934452570922,0.03811311349272728
42.0,33.4521,-70.65953473153584,Speech,0.26545172929763794,6336.602871999237,0.17187846298758866,0.04102060943841934
45.0,33.45225,-70.659391066476,"Boat, Water vehicle",0.17921333014965057,5897.5187005480075,0.1554240774601064,0.03703165054321289
48.0,33.452400000000004,-70.65995387750108,Speech,0.2714361846446991,6283.6483555154655,0.16861979166666666,0.04003128409385681
51.0,33.45255,-70.65997513161298,"Boat, Water vehicle",0.2986120581626892,6326.191100378764,0.1740064688608156,0.0383056104183197
54.0,33.4527,-70.65993960190741,Vehicle,0.5705912709236145,5170.76802188134,0.12947591145833334,0.04379015415906906
57.0,33.452850000000005,-70.65975979366968,Vehicle,0.359408974647522,4943.160420469069,0.11523610649379433,0.03985994681715965
60.0,33.453,-70.6594250667694,Vehicle,0.33987417817115784,4848.691788146185,0.0905173010859929,0.05047445371747017
63.0,33.45315,-70.65951953336173,Vehicle,0.2896328568458557,3493.5925908101644,0.061416084884751775,0.07906056195497513
66.0,33.453300000000006,-70.65905611058037,Vehicle,0.24633876979351044,4161.071911182385,0.07690256538120567,0.07110525667667389
69.0,33.453450000000004,-70.6591621370439,Vehicle,0.4846651554107666,4269.790254610745,0.06603917331560284,0.0844036266207695
72.0,33.4536,-70.65956821709983,Speech,0.11819466203451157,5289.133539362487,0.12038383754432624,0.047813158482313156
75.0,33.45375,-70.65942904801301,"Outside, rural or natural",0.12917493283748627,4324.036419823046,0.08049887799202128,0.043835513293743134
78.0,33.453900000000004,-70.65935230118387,Vehicle,0.5030198693275452,3597.0821736843905,0.07918294270833333,0.039431195706129074
81.0,33.45405,-70.65942565797152,Skateboard,0.27690306305885315,3982.9631755726523,0.08743870511968085,0.06213884800672531
84.0,33.4542,-70.65989555720452,Dog,0.24856321513652802,3745.352511257977,0.07618745844414894,0.04117368534207344
87.0,33.454350000000005,-70.65903365979726,Bow-wow,0.22784441709518433,4058.616279318974,0.08019067209663121,0.04496166110038757
90.0,33.4545,-70.65938824473317,Vehicle,0.18982303142547607,4300.02965749683,0.08953554410460993,0.04983050376176834
93.0,33.45465,-70.65986058341932,Vehicle,0.17279106378555298,4802.848903904982,0.11361542830230496,0.06174272671341896
96.0,33.454800000000006,-70.65943885273484,Vehicle,0.1692219376564026,5582.981415829027,0.23736528978280141,0.04103723540902138
99.0,33.454950000000004,-70.65985092625868,Vehicle,0.2595774829387665,6192.779481425347,0.28174001274379434,0.06569612771272659
102.0,33.4551,-70.65915937144646,Ocean,0.1801089644432068,3541.2923015509405,0.057682984264184396,0.032579876482486725
105.0,33.45525,-70.65904673526312,"Boat, Water vehicle",0.2476906031370163,4818.700216646857,0.13815588984929078,0.03562459722161293
108.0,33.455400000000004,-70.65948470762527,Wind,0.20308564603328705,5013.544758631684,0.12647523271276595,0.0509684681892395
111.0,33.45555,-70.65992874366627,Speech,0.15136314928531647,4255.513154048788,0.07492000498670212,0.07774753123521805
114.0,33.4557,-70.65995039469895,Vehicle,0.4327833652496338,4121.240799167846,0.07174617686170212,0.06220921874046326
117.0,33.455850000000005,-70.6596305645647,Vehicle,0.4267476499080658,4437.966477001018,0.07820811170212766,0.05526657775044441
120.0,33.456,-70.65978794717756,Ocean,0.3152534067630768,4642.68823702323,0.07700472351507093,0.06388465315103531
123.0,33.45615,-70.65991882955308,Vehicle,0.2872553765773773,4529.184687196968,0.08581975842198582,0.058417923748493195
126.0,33.456300000000006,-70.65959186841194,Vehicle,0.42995670437812805,4519.015082752362,0.08517044824911348,0.05609990283846855
129.0,33.456450000000004,-70.65955699392174,Ocean,0.4245889484882355,5341.1092032167635,0.12004100177304965,0.04732181504368782
132.0,33.4566,-70.65912412219038,Vehicle,0.41419675946235657,4905.365646441601,0.10920531360815602,0.04022519662976265
